"Substrate","ChEBI","TCNumber","InChI"
"cadmium(2+)","CHEBI:3290","3.A.3.2.3","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.77.1.4","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.4.7.8","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","1.A.87.3.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.5.39","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.19.6.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.4.7.5","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.119.1.6","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.5.4.5","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.5.4.8","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.2","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","1.A.35.4.2","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.55.2.19","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.5","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.77.1.5","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.55.1.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.1.205.28","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.3","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.55.3.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.6.1.2","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.25","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.4.3.12","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.1.205.29","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.55.1.5","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","1.A.87.3.10","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","1.A.35.4.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.20","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.55.2.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.19.2.4","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.19.2.9","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.13","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.23","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.10","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.4.2.2","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.19.2.5","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.77.1.3","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","1.A.87.3.2","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","1.B.17.2.2","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.1.205.9","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.6.1.16","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.5.1.7","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.55.2.14","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","1.A.1.11.5","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.8","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.4.1.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.66.1.8","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.6","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.4.3.9","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.6.1.15","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.55.2.20","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","9.A.43.1.9","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.5.5.6","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.5.14","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","9.A.43.1.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.1.208.20","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.12","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","3.A.3.6.18","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.5.1.17","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.5.1.1","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:3290","2.A.5.1.2","InChI=1S/Cd/q+2"
"cadmium(2+)","CHEBI:48773","2.A.5.1.13","InChI=1S/Cd/q+2"
"caesium(1+)","CHEBI:33126","1.A.75.1.1","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","2.A.1.19.5","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.1.5.7","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.1.8.2","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.1.5.5","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.2.2.1","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.4.5.3","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.1.5.6","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.4.5.12","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","2.A.37.1.7","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.60.1.1","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","2.A.36.5.1","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","2.A.36.5.8","InChI=1S/Cs/q+1"
"caesium(1+)","CHEBI:33126","1.A.2.1.1","InChI=1S/Cs/q+1"
"caffeine","CHEBI:27732","2.A.1.2.35","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3"
"caffeine","CHEBI:3295","2.A.1.2.35","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3"
"caffeine","CHEBI:3295","2.A.7.14.1","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3"
"calcein","CHEBI:51903","1.V.1.1.1","InChI=1S/C30H26N2O13/c33-21-7-23-19(5-15(21)9-31(11-25(35)36)12-26(37)38)30(18-4-2-1-3-17(18)29(43)45-30)20-6-16(22(34)8-24(20)44-23)10-32(13-27(39)40)14-28(41)42/h1-8,33-34H,9-14H2,(H,35,36)(H,37,38)(H,39,40)(H,41,42)"
"calciol","CHEBI:10008","9.B.208.1.1","InChI=1S/C27H44O/c1-19(2)8-6-9-21(4)25-15-16-26-22(10-7-17-27(25,26)5)12-13-23-18-24(28)14-11-20(23)3/h12-13,19,21,24-26,28H,3,6-11,14-18H2,1-2,4-5H3/b22-12+,23-13-/t21-,24+,25-,26+,27-/m1/s1"
"calcium atom","CHEBI:22984","1.A.77.1.15","InChI=1S/Ca"
"calcium atom","CHEBI:22984","1.A.10.1.6","InChI=1S/Ca"
"calcium ion","CHEBI:39124","1.A.17.4.14","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.1.11.4","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.4.1.15","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","3.A.3.9.7","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.C.11.1.3","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.3.1.8","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.110.1.5","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.3.1.9","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.125.1.1","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.10.1.24","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.1.11.35","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.4.9.5","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","2.A.19.4.15","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.10.1.23","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.1.11.19","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.14.3.14","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.H.1.1.11","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.1.11.34","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.10.1.25","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.106.1.10","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.31.1.8","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.1.11.3.1","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","3.A.3.2.48","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.10.1.29","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","3.A.3.2.46","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.106.1.3","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.3.1.10","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.85.1.8","InChI=1S/Ca/q+2"
"calcium ion","CHEBI:39124","1.A.10.1.10","InChI=1S/Ca/q+2"
"calcium(1+)","CHEBI:39099","1.A.1.3.2","InChI=1S/Ca/q+1"
"calcium(2+)","CHEBI:3308","1.A.1.11.20","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.84.1.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.3.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:29108","2.A.106.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:29108","2.A.106.2.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.74.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.25","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.G.4.1.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","9.A.57.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.55.3.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","9.B.37.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.14.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.11","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.14","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.106.2.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.9","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.50.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.7.27.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.81.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.87.5.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.17","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.1.14","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.C.89.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.62.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.75.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.52.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.54.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.1.9","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.3.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.9","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.G.4.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.5.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.10.14","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.87.3.9","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.10.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.55.2.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.6.1.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.28","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.17.5.11","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.11","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.32","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.19.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.50.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.8","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.5.3.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.G.4.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.5.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.16","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.7","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.5.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.55.4.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.3.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.9.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.31.1.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.25.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.55.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.87.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.10.1.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.13","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.5.26","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.3.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.22","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.106.1.11","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.19.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.13","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.84.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.7.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.62.1.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.11.1.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","8.A.82.1.11","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.1.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.11","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.55.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.H.1.4.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.5.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.29.14.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.50.2.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.28.3.7","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.37","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.37.5.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.14.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.97.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.5.7","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.14","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.29","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.E.1.4.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.7.1.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.6.19","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.10.13","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.1.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.62.2.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.17.5.12","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.84.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.17","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.11.1.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.4.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.81.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.14","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.C.49.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.16","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.3.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.1.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.5.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.40.6.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.7","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.4.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.52.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.81.3.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.6.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.52.1.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.6.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.4.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.97.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.7","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.54.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.23","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.24.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.5.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.29.14.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.106.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","9.B.103.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.15","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.17","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.30","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.4.10","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.87.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.H.1.1.15","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.8","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.50.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.33.1.7","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.30","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.17.4.11","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.37.4.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.50.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.50.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.34","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.5.1.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.74.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.52.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.8.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.3.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.4.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.8.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.9","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.2.13","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.2.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.10.1.19","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.36","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.21","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.19.4.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","2.A.11.1.2","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.6.6","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.55.2.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.27","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.14","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.10.1.3","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.H.1.2.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.11.7","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.77.1.5","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.1.5.4","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.17.4.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.33","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.10.1.18","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.3.2.12","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","3.A.3.2.35","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.4.5.1","InChI=1S/Ca/q+2"
"calcium(2+)","CHEBI:3308","1.A.69.3.1","InChI=1S/Ca/q+2"
