"TCNumber","ChEBI","Substrate"
"1.B.66.3.3","CHEBI:25367","molecule"
"2.A.43.2.11","CHEBI:2642","alpha-amino acid"
"1.A.8.10.6","CHEBI:5585","water"
"1.A.8.10.6","CHEBI:9888","urea"
"3.A.1.5.17","CHEBI:26272","L-proline betaine"
"2.A.1.2.11","CHEBI:5584","hydron"
"2.A.1.2.11","CHEBI:25375","monoamine molecular messenger"
"2.A.1.2.11","CHEBI:2496","doxorubicin"
"1.A.77.2.1","CHEBI:6635","magnesium(2+)"
"3.D.3.3.1","CHEBI:5584","hydron"
"2.A.1.3.46","CHEBI:3603","chloramphenicol"
"2.A.1.3.46","CHEBI:87185","florfenicol"
"3.A.1.103.9","CHEBI:16412","lipopolysaccharide"
"3.A.1.103.9","CHEBI:18154","polysaccharide"
"3.A.1.103.9","CHEBI:89981","LPS with O-antigen"
"2.A.33.1.2","CHEBI:9175","sodium(1+)"
"2.A.33.1.2","CHEBI:8345","potassium(1+)"
"2.A.33.1.2","CHEBI:5584","hydron"
"1.A.12.1.1","CHEBI:3731","chloride"
"1.A.51.1.4","CHEBI:5584","hydron"
"1.C.40.1.5","CHEBI:8137","phosphatidyl-L-serine"
"1.C.40.1.5","CHEBI:6486","lipid"
"1.C.40.1.5","CHEBI:10074","xenobiotic"
"5.A.3.4.2","CHEBI:10545","electron"
"2.A.40.4.4","CHEBI:9885","7,9-dihydro-1H-purine-2,6,8(3H)-trione"
"2.A.40.4.4","CHEBI:10059","9H-xanthine"
"2.A.7.20.5","CHEBI:3638","chloroquine"
"1.A.22.1.9","CHEBI:24870","ion"
"1.C.21.1.1","CHEBI:5585","water"
"1.C.21.1.1","CHEBI:25367","molecule"
"1.C.21.1.1","CHEBI:53369","polyelectrolyte macromolecule"
"2.A.6.2.12","CHEBI:3020","benzalkonium chloride"
"2.A.6.2.12","CHEBI:8984","sodium dodecyl sulfate"
"2.A.6.2.12","CHEBI:23378","copper cation"
"2.A.6.2.12","CHEBI:27365","zinc ion"
"2.A.6.2.12","CHEBI:23614","deoxycholate"
"2.A.6.2.12","CHEBI:4796","enoxacin"
"2.A.6.2.12","CHEBI:7629","norfloxacin"
"2.A.6.2.12","CHEBI:3765","cloxacillin"
"2.A.6.2.12","CHEBI:7456","nalidixic acid"
"2.A.6.2.12","CHEBI:3098","bile acid"
"2.A.6.2.12","CHEBI:6104","kanamycin"
"2.A.7.7.2","CHEBI:3603","chloramphenicol"
"9.B.216.1.3","CHEBI:6486","lipid"
"3.A.3.32.7","CHEBI:25213","metal cation"
"1.C.123.1.3","CHEBI:69437","orobol"
"3.A.3.4.1","CHEBI:6635","magnesium(2+)"
"3.A.3.4.1","CHEBI:25517","nickel(2+)"
"3.A.1.205.27","CHEBI:23888","drug"
"3.A.1.205.27","CHEBI:23888","drug"
"2.A.1.49.4","CHEBI:63112","fingolimod hydrochloride"
"2.A.1.49.4","CHEBI:37550","sphingosine 1-phosphate"
"2.A.7.15.1","CHEBI:84880","GDP-D-mannose"
"2.A.7.15.1","CHEBI:9845","UDP-D-glucose"
"2.A.7.15.1","CHEBI:9823","UDP-N-acetyl-alpha-D-glucosamine"
"2.A.1.49.10","CHEBI:4883","ethidium bromide"
"2.A.1.49.10","CHEBI:3371","capreomycin"
"3.A.3.32.1","CHEBI:25213","metal cation"
"1.A.23.6.1","CHEBI:24870","ion"
"1.C.111.1.11","CHEBI:25367","molecule"
"1.B.76.1.5","CHEBI:23378","copper cation"
"2.A.39.1.3","CHEBI:8675","pyrimidine"
"2.A.1.2.68","CHEBI:9474","tetracycline"
"4.A.2.1.16","CHEBI:5172","fructose"
"1.B.84.1.4","CHEBI:25367","molecule"
"3.A.1.131.2","CHEBI:71644","lantibiotic"
"1.A.11.4.8","CHEBI:49783","ammonium"
"1.A.11.4.8","CHEBI:7434","ammonia"
"1.A.11.4.8","CHEBI:3283","carbon dioxide"
"2.A.1.2.27","CHEBI:50434","alcaligin"
"2.A.1.19.13","CHEBI:17126","carnitine"
"2.A.1.19.13","CHEBI:6202","(R)-carnitine"
"4.A.6.1.1","CHEBI:17315","D-glucosamine"
"4.A.6.1.1","CHEBI:4162","2-amino-2-deoxy-D-glucopyranose"
"4.A.6.1.1","CHEBI:4207","aldehydo-D-mannosamine"
"4.A.6.1.1","CHEBI:4167","D-glucopyranose"
"4.A.6.1.1","CHEBI:4208","D-mannopyranose"
"4.A.6.1.1","CHEBI:4119","keto-D-fructose"
"8.A.183.1.6","CHEBI:14911","protein"
"2.A.1.1.124","CHEBI:5418","glucose"
"2.A.1.1.124","CHEBI:5256","galactose"
"2.A.1.1.124","CHEBI:14575","mannose"
"2.A.1.1.124","CHEBI:5709","hexose"
"2.A.29.24.3","CHEBI:3731","chloride"
"2.A.29.24.3","CHEBI:5584","hydron"
"2.A.3.3.22","CHEBI:2642","alpha-amino acid"
"1.C.39.6.3","CHEBI:25367","molecule"
"1.A.43.1.5","CHEBI:17051","fluoride"
"1.A.43.1.5","CHEBI:41334","(R)-camphor"
"9.B.22.1.7","CHEBI:8526","protein polypeptide chain"
"9.B.432.1.5","CHEBI:76531","odorant receptor antagonist"
"9.B.104.1.4","CHEBI:9116","serine"
"1.B.17.3.9","CHEBI:25367","molecule"
"9.B.162.1.1","CHEBI:25367","molecule"
"1.A.33.1.3","CHEBI:24870","ion"
"9.B.391.1.3","CHEBI:14911","protein"
"9.A.8.1.4","CHEBI:34754","iron(2+)"
"1.C.127.1.1","CHEBI:25367","molecule"
"2.A.8.1.10","CHEBI:16659","D-glycerate"
"2.A.19.5.2","CHEBI:3308","calcium(2+)"
"2.A.19.5.2","CHEBI:9175","sodium(1+)"
"2.A.19.5.2","CHEBI:5584","hydron"
"1.A.87.3.5","CHEBI:3290","cadmium(2+)"
"1.A.64.2.1","CHEBI:24870","ion"
"1.A.27.1.3","CHEBI:22563","anion"
"2.A.1.53.7","CHEBI:8675","pyrimidine"
"2.A.1.53.7","CHEBI:60761","floxuridine"
"1.C.34.1.1","CHEBI:25367","molecule"
"9.A.45.1.2","CHEBI:25367","molecule"
"2.A.1.13.8","CHEBI:60311","thyroid hormone"
"1.C.10.3.2","CHEBI:25367","molecule"
"1.C.59.3.3","CHEBI:25367","molecule"
"3.E.1.8.2","CHEBI:22563","anion"
"1.A.77.3.13","CHEBI:3473","cation"
"1.C.110.1.1","CHEBI:25367","molecule"
"1.C.23.1.1","CHEBI:5585","water"
"1.C.23.1.1","CHEBI:25367","molecule"
"1.C.23.1.1","CHEBI:53369","polyelectrolyte macromolecule"
"1.A.21.1.3","CHEBI:4062","cytochrome c"
"1.A.21.1.3","CHEBI:25367","molecule"
"1.A.21.1.3","CHEBI:33839","macromolecule"
"3.A.1.3.24","CHEBI:2642","alpha-amino acid"
"2.A.120.1.12","CHEBI:9175","sodium(1+)"
"2.A.120.1.12","CHEBI:2539","alanine"
"2.A.5.4.3","CHEBI:10113","zinc(2+)"
"2.A.3.8.1","CHEBI:2642","alpha-amino acid"
"2.A.3.8.1","CHEBI:60311","thyroid hormone"
"1.A.1.10.17","CHEBI:9175","sodium(1+)"
"1.B.31.1.3","CHEBI:25367","molecule"
"1.C.111.1.3","CHEBI:25367","molecule"
"2.A.26.1.4","CHEBI:22918","branched-chain amino acid"
"5.B.14.1.1","CHEBI:10545","electron"
"2.A.66.1.32","CHEBI:5584","hydron"
"2.A.66.1.32","CHEBI:23888","drug"
"5.B.2.1.6","CHEBI:10545","electron"
"3.A.3.27.6","CHEBI:3473","cation"
"1.B.23.1.25","CHEBI:84734","Fe(III)-complexed siderophore"
"1.A.87.3.11","CHEBI:3290","cadmium(2+)"
"3.A.20.1.4","CHEBI:8526","protein polypeptide chain"
"9.A.24.1.9","CHEBI:3659","cholesterol"
"9.A.24.1.9","CHEBI:8337","porphyrin"
"9.A.76.1.1","CHEBI:27208","unsaturated fatty acid"
"1.C.109.1.5","CHEBI:25367","molecule"
"2.A.29.10.11","CHEBI:2356","adenosine 5'-monophosphate"
"2.A.29.10.11","CHEBI:2342","ADP"
"2.A.29.10.11","CHEBI:7422","NAD(+)"
"2.A.29.10.11","CHEBI:7424","NADP(+)"
"1.B.40.1.8","CHEBI:8526","protein polypeptide chain"
"2.A.2.3.1","CHEBI:10404","beta-D-glucosiduronic acid"
"2.A.47.1.15","CHEBI:9175","sodium(1+)"
"2.A.47.1.15","CHEBI:23688","dicarboxylic acid dianion"
"3.A.1.3.17","CHEBI:25094","lysine"
"3.A.1.3.17","CHEBI:2643","arginine"
"3.A.1.3.17","CHEBI:5733","histidine"
"2.A.74.1.3","CHEBI:6486","lipid"
"2.A.74.1.3","CHEBI:23888","drug"
"1.B.44.1.3","CHEBI:25367","molecule"
"2.A.96.1.11","CHEBI:13704","acetate"
"2.A.3.3.2","CHEBI:25094","lysine"
"2.A.3.3.2","CHEBI:7784","ornithine"
"2.A.3.3.2","CHEBI:2643","arginine"
"2.A.25.1.7","CHEBI:5460","glycine"
"2.A.25.1.7","CHEBI:2539","alanine"
"3.A.1.205.11","CHEBI:2446","actinomycin D"
"3.A.1.205.11","CHEBI:29552","cerulenin"
"3.A.1.205.11","CHEBI:48080","brefeldin A"
"3.A.1.205.32","CHEBI:6076","itraconazole"
"3.A.1.205.32","CHEBI:10023","voriconazole"
"3.A.1.205.32","CHEBI:68452","azole"
"1.B.33.1.2","CHEBI:8526","protein polypeptide chain"
"3.A.1.2.15","CHEBI:10078","xylitol"
"8.A.105.1.1","CHEBI:34754","iron(2+)"
"1.C.111.1.10","CHEBI:25367","molecule"
"2.A.66.1.10","CHEBI:8829","rhodamine 6G"
"2.A.66.1.10","CHEBI:383703","3,6-diamino-10-methylacridinium chloride"
"2.A.66.1.10","CHEBI:3933","crystal violet"
"2.A.66.1.10","CHEBI:4796","enoxacin"
"2.A.66.1.10","CHEBI:3717","ciprofloxacin"
"2.A.66.1.10","CHEBI:7629","norfloxacin"
"2.A.66.1.10","CHEBI:7644","novobiocin"
"2.A.66.1.10","CHEBI:2496","doxorubicin"
"2.A.66.1.10","CHEBI:42478","ethidium"
"2.A.66.1.10","CHEBI:3066","berberine"
"2.A.1.14.35","CHEBI:26544","rhamnonate"
"2.A.1.9.4","CHEBI:7793","phosphate(3-)"
"2.A.113.2.1","CHEBI:25517","nickel(2+)"
"1.A.9.1.9","CHEBI:24870","ion"
"3.D.4.10.5","CHEBI:24636","proton"
"1.C.16.1.2","CHEBI:5585","water"
"1.C.16.1.2","CHEBI:25367","molecule"
"1.C.16.1.2","CHEBI:53369","polyelectrolyte macromolecule"
"2.A.60.1.9","CHEBI:23899","icosanoid"
"2.A.60.1.9","CHEBI:3098","bile acid"
"2.A.60.1.9","CHEBI:60311","thyroid hormone"
"1.C.38.1.11","CHEBI:25367","molecule"
"1.A.10.1.15","CHEBI:24870","ion"
"1.C.118.1.2","CHEBI:25367","molecule"
"2.A.1.3.21","CHEBI:61346","achromobactin"
"2.A.29.8.5","CHEBI:3424","carnitinium"
"2.A.29.8.5","CHEBI:8946","S-adenosyl-L-methionine"
"9.A.18.1.2","CHEBI:7990","peptide"
"9.A.18.1.2","CHEBI:3139","bleomycin A2"
"1.A.1.5.4","CHEBI:3308","calcium(2+)"
"1.A.1.5.4","CHEBI:9175","sodium(1+)"
"2.A.123.2.10","CHEBI:9840","UDP-sugar"
"1.C.10.1.2","CHEBI:25367","molecule"
"1.M.1.3.1","CHEBI:25367","molecule"
"1.A.78.2.9","CHEBI:29103","potassium(1+)"
"1.A.16.3.4","CHEBI:71263","nitrate"
"2.A.3.10.5","CHEBI:5432","glutamine"
"2.A.29.12.5","CHEBI:3771","coenzyme A"
"2.A.66.1.55","CHEBI:100246","norfloxacin"
"2.A.66.1.55","CHEBI:27333","xenobiotic"
"3.A.3.1.3","CHEBI:9175","sodium(1+)"
"2.A.7.19.4","CHEBI:2594","allantoin"
"2.A.7.19.4","CHEBI:8675","pyrimidine"
"2.A.7.19.4","CHEBI:9882","uracil"
"2.A.7.19.4","CHEBI:2054","5-fluorouracil"
"2.A.7.19.4","CHEBI:9885","7,9-dihydro-1H-purine-2,6,8(3H)-trione"
"2.A.7.19.4","CHEBI:10059","9H-xanthine"
"1.B.16.1.7","CHEBI:7793","phosphate(3-)"
"1.A.95.1.3","CHEBI:25367","molecule"
"2.A.86.1.6","CHEBI:2561","aldose"
"4.E.1.1.2","CHEBI:9744","triphosphate(5-)"
"1.A.1.5.9","CHEBI:8345","potassium(1+)"
"1.A.77.2.10","CHEBI:3473","cation"
"2.A.29.20.1","CHEBI:2356","adenosine 5'-monophosphate"
"2.A.29.20.1","CHEBI:2342","ADP"
"2.A.29.20.1","CHEBI:3771","coenzyme A"
"2.A.29.20.1","CHEBI:2475","adenosine 3',5'-bismonophosphate"
"2.A.29.20.1","CHEBI:4960","FMN"
"2.A.29.20.1","CHEBI:7422","NAD(+)"
"2.A.29.20.1","CHEBI:4956","FAD"
"2.A.123.4.1","CHEBI:9840","UDP-sugar"
"2.A.7.9.1","CHEBI:8147","phosphoenolpyruvate"
"2.A.7.9.1","CHEBI:7793","phosphate(3-)"
"2.A.7.9.1","CHEBI:26191","polyol"
"2.A.18.6.1","CHEBI:5432","glutamine"
"2.A.113.1.11","CHEBI:23337","cobalt(2+)"
"2.A.113.1.11","CHEBI:25517","nickel(2+)"
"1.A.20.2.2","CHEBI:25367","molecule"
"1.B.4.2.8","CHEBI:25367","molecule"
"1.B.35.4.2","CHEBI:25367","molecule"
"1.B.80.1.4","CHEBI:25367","molecule"
"2.A.128.1.20","CHEBI:34994","teicoplanin A2"
"2.A.108.2.9","CHEBI:5974","iron atom"
"1.B.6.5.3","CHEBI:25367","molecule"
"1.C.22.1.8","CHEBI:5585","water"
"1.C.22.1.8","CHEBI:25367","molecule"
"1.C.22.1.8","CHEBI:53369","polyelectrolyte macromolecule"
"2.A.23.2.7","CHEBI:9175","sodium(1+)"
"2.A.23.2.7","CHEBI:29987","glutamate(2-)"
"2.A.23.2.7","CHEBI:29995","aspartate(2-)"
"2.A.1.19.1","CHEBI:35264","tetramethylammonium"
"2.A.1.19.1","CHEBI:16797","1-methylnicotinamide"
"2.A.1.19.1","CHEBI:10074","xenobiotic"
"2.A.1.19.1","CHEBI:25512","neurotransmitter"
"2.A.1.19.1","CHEBI:33229","vitamin"
"2.A.110.1.5","CHEBI:5651","ferroheme b"
"2.A.81.1.6","CHEBI:29995","aspartate(2-)"
"2.A.81.1.6","CHEBI:2539","alanine"
"1.C.74.1.1","CHEBI:24870","ion"
"1.C.74.1.1","CHEBI:25367","molecule"
"2.A.106.1.7","CHEBI:29035","manganese(2+)"
"3.A.1.1.19","CHEBI:7893","6-O-alpha-D-glucopyranosyl-D-fructofuranose"
"2.A.29.3.3","CHEBI:23689","dicarboxylic acid dianion"
"2.A.29.3.3","CHEBI:29987","glutamate(2-)"
"2.A.29.3.3","CHEBI:16452","oxaloacetate(2-)"
"2.A.29.3.3","CHEBI:15595","malate(2-)"
"2.A.29.3.3","CHEBI:29995","aspartate(2-)"
"2.A.29.3.3","CHEBI:58090","L-cysteate(1-)"
"2.A.29.3.3","CHEBI:61085","3-sulfino-L-alanine(1-)"
"2.A.29.3.3","CHEBI:18367","phosphate(3-)"
"2.A.29.3.3","CHEBI:16189","sulfate"
"2.A.29.3.3","CHEBI:16094","thiosulfate(2-)"
"2.A.29.3.3","CHEBI:7814","2-oxaloglutaric acid"
"1.C.21.2.2","CHEBI:5585","water"
"1.C.21.2.2","CHEBI:25367","molecule"
"1.C.21.2.2","CHEBI:53369","polyelectrolyte macromolecule"
"1.C.90.3.3","CHEBI:24870","ion"
"2.A.1.14.29","CHEBI:9175","sodium(1+)"
"2.A.6.2.39","CHEBI:2960","aztreonam"
"2.A.6.2.39","CHEBI:7644","novobiocin"
"2.A.6.2.39","CHEBI:9474","tetracycline"
"2.A.6.2.39","CHEBI:25106","macrolide"
"1.B.1.4.1","CHEBI:25367","molecule"
"2.A.126.1.14","CHEBI:23888","drug"
"2.A.49.9.2","CHEBI:5113","fluoride"
"2.A.49.9.2","CHEBI:5584","hydron"
"3.A.3.8.14","CHEBI:60971","aminophospholipid"
"1.G.1.1.3","CHEBI:25367","molecule"
"3.A.1.27.1","CHEBI:10567","gamma-hexachlorocyclohexane"
"2.A.92.1.1","CHEBI:9175","sodium(1+)"
"2.A.92.1.1","CHEBI:3665","choline"
"2.A.21.7.1","CHEBI:18401","phenylacetate"
"2.A.108.2.6","CHEBI:30179","lead(2+)"
"2.A.108.2.6","CHEBI:29033","iron(2+)"
"2.A.88.5.1","CHEBI:7559","nicotinic acid"
"1.A.1.2.12","CHEBI:8345","potassium(1+)"
"2.A.87.1.3","CHEBI:8843","riboflavin"
"1.N.3.1.3","CHEBI:25367","molecule"
"1.N.3.1.3","CHEBI:33839","macromolecule"
"1.G.17.1.3","CHEBI:25367","molecule"
"2.A.56.1.12","CHEBI:30915","2-oxoglutaric acid"
"1.A.8.12.7","CHEBI:30150","aluminium(1+)"
"1.A.8.12.7","CHEBI:5585","water"
"1.A.23.4.2","CHEBI:24870","ion"
"1.B.14.8.4","CHEBI:9530","thiamine(1+)"
"1.A.29.1.5","CHEBI:9888","urea"
"1.C.39.11.3","CHEBI:25367","molecule"
"2.A.60.1.23","CHEBI:26764","steroid hormone"
"1.A.77.5.2","CHEBI:3473","cation"
"3.A.1.134.9","CHEBI:7990","peptide"
"1.C.30.1.4","CHEBI:5585","water"
"1.C.30.1.4","CHEBI:25367","molecule"
"1.C.30.1.4","CHEBI:53369","polyelectrolyte macromolecule"
"1.A.53.1.8","CHEBI:3473","cation"
"2.A.66.2.22","CHEBI:9431","teichoic acid"
"1.C.39.9.4","CHEBI:25367","molecule"
"2.A.12.1.7","CHEBI:3285","CTP"
"2.A.12.1.7","CHEBI:2359","ATP"
"2.A.12.1.7","CHEBI:5234","GTP"
"2.A.12.1.7","CHEBI:9850","UTP"
"1.A.95.1.5","CHEBI:25367","molecule"
"1.A.4.2.9","CHEBI:3308","calcium(2+)"
"1.A.4.2.9","CHEBI:36915","inorganic cation"
"2.A.3.1.14","CHEBI:8650","putrescine"
"2.A.1.14.9","CHEBI:18101","4-hydroxyphenylacetic acid"
"2.A.37.2.4","CHEBI:30143","lithium(1+)"
"2.A.37.2.4","CHEBI:9175","sodium(1+)"
"2.A.37.2.4","CHEBI:5584","hydron"
"1.A.6.1.9","CHEBI:24870","ion"
"2.A.28.1.11","CHEBI:9175","sodium(1+)"
"2.A.28.1.11","CHEBI:3098","bile acid"
"2.A.37.4.2","CHEBI:8345","potassium(1+)"
"2.A.37.4.2","CHEBI:5584","hydron"
"1.A.8.9.13","CHEBI:22534","ammonium"
"1.A.8.9.13","CHEBI:5585","water"
"1.A.8.9.13","CHEBI:7434","ammonia"
"1.A.8.9.13","CHEBI:6864","methylamine"
"1.A.8.9.13","CHEBI:5448","glycerol"
"2.A.1.3.65","CHEBI:9688","trichodermin"
"2.A.1.19.39","CHEBI:17126","carnitine"
"2.A.1.19.39","CHEBI:3424","carnitinium"
"2.A.1.19.39","CHEBI:25697","organic cation"
"1.C.112.1.3","CHEBI:25367","molecule"
"1.A.17.4.7","CHEBI:9175","sodium(1+)"
"2.A.29.1.6","CHEBI:2342","ADP"
"2.A.29.1.6","CHEBI:2359","ATP"
"2.A.29.1.6","CHEBI:2470","adenine"
"1.C.52.1.22","CHEBI:24870","ion"
"2.A.41.2.2","CHEBI:9175","sodium(1+)"
"2.A.41.2.2","CHEBI:7647","nucleoside"
"2.A.19.4.1","CHEBI:3308","calcium(2+)"
"2.A.19.4.1","CHEBI:9175","sodium(1+)"
"2.A.19.4.1","CHEBI:8345","potassium(1+)"
"1.A.26.2.4","CHEBI:6635","magnesium(2+)"
"1.A.1.23.2","CHEBI:8345","potassium(1+)"
"1.A.8.7.1","CHEBI:22911","boric acid"
"1.A.8.7.1","CHEBI:9888","urea"
"1.A.8.7.1","CHEBI:5448","glycerol"
"1.A.4.2.14","CHEBI:3308","calcium(2+)"
"2.A.1.68.1","CHEBI:5418","glucose"
"1.A.25.1.8","CHEBI:25367","molecule"
"1.B.6.6.5","CHEBI:25367","molecule"
"3.A.1.1.59","CHEBI:25679","oligosaccharide"
"9.B.163.4.1","CHEBI:25367","molecule"
"1.B.63.1.5","CHEBI:3473","cation"
"1.B.63.1.5","CHEBI:5879","imipenem"
"3.A.1.2.17","CHEBI:7647","nucleoside"
"1.C.11.1.7","CHEBI:25367","molecule"
"1.B.59.2.1","CHEBI:25367","molecule"
"2.A.2.3.7","CHEBI:22601","arabinoside"
"1.C.59.2.1","CHEBI:25367","molecule"
"1.G.9.2.2","CHEBI:25367","molecule"
"2.A.29.2.2","CHEBI:16452","oxaloacetate(2-)"
"2.A.29.2.2","CHEBI:16810","2-oxoglutarate(2-)"
"2.A.29.2.2","CHEBI:15595","malate(2-)"
"2.A.29.2.2","CHEBI:30031","succinate(2-)"
"2.A.29.2.2","CHEBI:42511","fumarate(2-)"
"2.A.30.6.1","CHEBI:26710","sodium chloride"
"2.A.30.6.1","CHEBI:32588","potassium chloride"
"2.A.29.2.11","CHEBI:15595","malate(2-)"
"2.A.29.2.11","CHEBI:30915","2-oxoglutaric acid"
"3.A.1.5.48","CHEBI:25906","peptide"
"2.A.21.2.7","CHEBI:9175","sodium(1+)"
"2.A.21.2.7","CHEBI:26271","proline"
"2.A.1.4.7","CHEBI:7793","phosphate(3-)"
"2.A.1.4.7","CHEBI:57597","sn-glycerol 3-phosphate(2-)"
"2.A.1.4.7","CHEBI:10648","sn-glycerol 3-phosphate"
"2.A.1.4.7","CHEBI:4170","D-glucopyranose 6-phosphate"
"1.B.24.1.2","CHEBI:57748","cholate"
"1.B.40.2.2","CHEBI:8526","protein polypeptide chain"
"3.A.12.2.1","CHEBI:4291","deoxyribonucleic acid"
"8.A.131.1.7","CHEBI:14911","protein"
"1.B.14.1.11","CHEBI:84734","Fe(III)-complexed siderophore"
"1.B.6.4.1","CHEBI:25367","molecule"
"1.A.43.2.1","CHEBI:17051","fluoride"
"1.A.43.2.1","CHEBI:41334","(R)-camphor"
"3.A.3.6.6","CHEBI:3290","cadmium(2+)"
"3.A.3.6.6","CHEBI:3308","calcium(2+)"
"3.A.3.6.6","CHEBI:23337","cobalt(2+)"
"3.A.3.6.6","CHEBI:23380","copper(2+)"
"3.A.3.6.6","CHEBI:10113","zinc(2+)"
"1.A.10.1.29","CHEBI:3731","chloride"
"1.A.10.1.29","CHEBI:9175","sodium(1+)"
"1.A.10.1.29","CHEBI:8345","potassium(1+)"
"1.A.10.1.29","CHEBI:39124","calcium ion"
"1.A.10.1.29","CHEBI:22563","anion"
"1.A.10.1.29","CHEBI:23058","cation"
"9.B.184.1.3","CHEBI:25367","molecule"
"2.A.1.2.83","CHEBI:4883","ethidium bromide"
"2.A.1.2.83","CHEBI:2642","alpha-amino acid"
"2.A.1.2.83","CHEBI:7629","norfloxacin"
"2.A.1.2.83","CHEBI:45745","streptomycin"
"1.A.11.1.5","CHEBI:7434","ammonia"
"2.A.1.5.4","CHEBI:5584","hydron"
"2.A.1.5.4","CHEBI:6733","melibiose"
"2.A.1.5.4","CHEBI:6353","alpha-lactose"
"2.A.29.18.3","CHEBI:8946","S-adenosyl-L-methionine"
"3.A.3.10.16","CHEBI:29035","manganese(2+)"
"1.B.17.3.5","CHEBI:49551","copper(1+)"
"1.B.17.3.5","CHEBI:49468","silver(1+)"
"2.A.1.1.51","CHEBI:5584","hydron"
"2.A.1.1.51","CHEBI:10085","xylose"
"2.A.1.1.51","CHEBI:5418","glucose"
"1.B.33.2.3","CHEBI:8526","protein polypeptide chain"
"1.A.1.8.3","CHEBI:8345","potassium(1+)"
"2.A.3.1.3","CHEBI:8089","phenylalanine"
"2.A.3.1.3","CHEBI:9769","tryptophan"
"2.A.3.1.3","CHEBI:9800","tyrosine"
"3.A.1.123.1","CHEBI:71644","lantibiotic"
"2.A.6.7.5","CHEBI:5761","hopanoid"
"1.A.8.8.9","CHEBI:5585","water"
"1.B.9.1.5","CHEBI:24024","fatty acid"
"3.E.1.2.1","CHEBI:3731","chloride"
"3.A.3.6.18","CHEBI:3290","cadmium(2+)"
"3.A.3.6.18","CHEBI:10113","zinc(2+)"
"1.A.4.1.6","CHEBI:3308","calcium(2+)"
"3.A.3.30.3","CHEBI:3473","cation"
"2.A.42.2.1","CHEBI:9116","serine"
"1.A.26.2.3","CHEBI:6635","magnesium(2+)"
"2.A.92.1.7","CHEBI:9530","thiamine(1+)"
"2.A.110.1.3","CHEBI:5651","ferroheme b"
"2.A.47.2.4","CHEBI:9175","sodium(1+)"
"2.A.47.2.4","CHEBI:7793","phosphate(3-)"
"1.W.2.1.3","CHEBI:4291","deoxyribonucleic acid"
"2.A.49.1.2","CHEBI:3731","chloride"
"2.A.56.4.1","CHEBI:6495","lipoprotein"
"2.A.85.1.4","CHEBI:5199","Fusaric acid"
"8.A.159.1.1","CHEBI:14911","protein"
"2.A.19.3.6","CHEBI:3308","calcium(2+)"
"2.A.53.3.13","CHEBI:42511","fumarate(2-)"
"3.A.3.5.39","CHEBI:3290","cadmium(2+)"
"3.A.3.5.39","CHEBI:23379","copper(1+)"
"3.A.3.5.39","CHEBI:27365","zinc ion"
"1.A.1.28.2","CHEBI:8345","potassium(1+)"
"1.C.96.1.1","CHEBI:25367","molecule"
"3.A.1.10.5","CHEBI:84734","Fe(III)-complexed siderophore"
"1.C.39.4.7","CHEBI:25367","molecule"
"2.A.67.4.3","CHEBI:7755","oligopeptide"
"2.A.49.3.3","CHEBI:3731","chloride"
"2.A.1.19.31","CHEBI:25696","organic anion"
"2.A.1.19.31","CHEBI:9885","7,9-dihydro-1H-purine-2,6,8(3H)-trione"
"1.B.8.2.1","CHEBI:25367","molecule"
"2.A.66.1.1","CHEBI:9175","sodium(1+)"
"2.A.66.1.1","CHEBI:7629","norfloxacin"
"2.A.66.1.1","CHEBI:45745","streptomycin"
"2.A.66.1.1","CHEBI:6104","kanamycin"
"2.A.66.1.1","CHEBI:42478","ethidium"
"1.C.21.2.3","CHEBI:5585","water"
"1.C.21.2.3","CHEBI:25367","molecule"
"1.C.21.2.3","CHEBI:53369","polyelectrolyte macromolecule"
"2.A.127.1.2","CHEBI:3411","cardiolipin"
"3.A.3.5.4","CHEBI:49468","silver(1+)"
"2.A.30.3.4","CHEBI:3731","chloride"
"2.A.30.3.4","CHEBI:8345","potassium(1+)"
"1.A.1.5.35","CHEBI:8345","potassium(1+)"
"2.A.36.5.5","CHEBI:9175","sodium(1+)"
"2.A.36.5.5","CHEBI:5584","hydron"
"1.C.111.1.1","CHEBI:25367","molecule"
"2.A.29.1.11","CHEBI:456216","ADP(3-)"
"2.A.29.1.11","CHEBI:2359","ATP"
"1.B.74.1.1","CHEBI:25367","molecule"
"2.A.18.8.1","CHEBI:5584","hydron"
"2.A.18.8.1","CHEBI:1786","gamma-aminobutyric acid"
"2.A.18.8.1","CHEBI:2642","alpha-amino acid"
"2.A.23.2.4","CHEBI:9175","sodium(1+)"
"2.A.23.2.4","CHEBI:29995","aspartate(2-)"
"2.A.23.2.4","CHEBI:21301","L-glutamate(1-)"
"2.A.23.2.4","CHEBI:9406","taurine"
"1.B.25.1.2","CHEBI:29393","chromate(2-)"
"3.A.3.25.2","CHEBI:3473","cation"
"9.B.278.1.4","CHEBI:14911","protein"
"1.B.6.1.2","CHEBI:25367","molecule"
"3.E.1.1.9","CHEBI:5584","hydron"
"1.A.8.13.5","CHEBI:5585","water"
"1.I.3.1.1","CHEBI:25367","molecule"
"1.I.3.1.1","CHEBI:33839","macromolecule"
"2.A.60.1.14","CHEBI:57748","cholate"
"2.A.60.1.14","CHEBI:6440","levofloxacin"
"2.A.60.1.14","CHEBI:9408","taurocholic acid"
"2.A.60.1.14","CHEBI:35190","diterpene"
